% Model,EM_Reluctance.mph
% Version,COMSOL 6.2.0.290
% Date,"Aug 27 2024, 15:02"
% Table,Table 1 - Global Evaluation 1
% Gap,Current1,Current2,mf.Forcez_MagnetForce1+mf.Forcez_MagnetForce2 (N)
0.305,0,-0.13,-6.009937371751919E-5
0.305,0,0,0
0.305,0,0.13,-6.0099373719801045E-5
0.305,0.13,-0.13,7.27466245251438E-4
0.305,0.13,0,8.640973345326932E-4
0.305,0.13,0.13,8.805308685178128E-4
0.31,-0.13,-0.13,9.681693896161055E-4
0.31,-0.13,0,9.376556234599227E-4
0.31,-0.13,0.13,7.968618518351927E-4
0.31,0,-0.13,-5.5138965265148525E-5
0.31,0,0,0
0.31,0,0.13,-5.513896526070995E-5
0.31,0.13,-0.13,7.968618516300183E-4
0.31,0.13,0,9.376556233207873E-4
0.31,0.13,0.13,9.681693896596836E-4
0.315,-0.13,-0.13,0.0010829141682956876
0.315,-0.13,0,0.0010387887397764143
0.315,-0.13,0.13,8.883894097894395E-4
0.315,0,-0.13,-5.3137932499924306E-5
0.315,0,0,0
0.315,0,0.13,-5.3137932512404374E-5
0.315,0.13,-0.13,8.88389409286863E-4
0.315,0.13,0,0.0010387887394911074
0.315,0.13,0.13,0.0010829141684362696
0.32,-0.13,-0.13,0.0011748868798590383
0.32,-0.13,0,0.0011232869772056057
0.32,-0.13,0.13,9.700064661750752E-4
0.32,0,-0.13,-5.0842058837117394E-5
0.32,0,0,0
0.32,0,0.13,-5.0842058853952235E-5
0.32,0.13,-0.13,9.70006465908321E-4
0.32,0.13,0,0.001123286977205603
0.32,0.13,0.13,0.0011748868788365966
0.325,-0.13,-0.13,0.0012996346676405989
0.325,-0.13,0,0.0012355273735233823
0.325,-0.13,0.13,0.0010710045294290516
0.325,0,-0.13,-5.020747067439862E-5
0.325,0,0,0
0.325,0,0.13,-5.0207470747902216E-5
0.325,0.13,-0.13,0.001071004528297052
0.325,0.13,0,0.0012355273729326537
0.325,0.13,0.13,0.0012996346675741653
0.33,-0.13,-0.13,0.0014405454698104168
0.33,-0.13,0,0.001359799552292726
0.33,-0.13,0.13,0.0011847467691210665
0.33,0,-0.13,-4.715494227479527E-5
0.33,0,0,0
0.33,0,0.13,-4.715494227353817E-5
0.33,0.13,-0.13,0.001184746765946372
0.33,0.13,0,0.0013597995528046747
